incident_num,name,location,apt_lot,date_time,lat,lng
2012208800,TRAFFIC STOP,2001 BROADWAY E-CO,1,2012-11-01 04:59:09,38.950140,-92.308100
2012208799,ASSIST OFFICER,303 STADIUM BLVD N-CO,,2012-11-01 04:55:07,38.958412,-92.372096
2012208797,CHECK SUBJECT,123 NINTH ST S-CO,,2012-11-01 04:51:53,38.949690,-92.327960
2012208796,PEACE DISTURBANCE,7 TEXAS AV E-CO,,2012-11-01 04:44:49,38.970380,-92.337710
2012208794,TRAFFIC STOP,3400 CLARK LN-CO,,2012-11-01 04:40:44,38.963460,-92.287240
2012208789,ASSIST OFFICER,BALLENGER LN-CO/WREN WOOD DR-CO,,2012-11-01 04:27:08,38.9797,-92.2648
2012208784,LEAVING THE SCENE ACCIDENT,1201 GRINDSTONE PKWY-CO,A,2012-11-01 04:19:58,38.913120,-92.324050
2012208782,CHECK OPEN BUSINESS,1109 BROADWAY E-CO,,2012-11-01 04:19:03,38.951660,-92.324890
2012208783,ACCIDENT,ST CHARLES RD-CO/DORADO DR-CO,,2012-11-01 04:16:07,38.9488,-92.2857
2012208775,SPECIAL ASSIGNMENT,4009 DERBY RIDGE DR-CO,,2012-11-01 04:02:17,,
2012208793,HARASSMENT,2305 ANDY DR-CO,,2012-11-01 03:56:46,38.974840,-92.305370
2012208778,CHECK SUBJECT,7000 BUCKINGHAM SQ N-CO,204 A,2012-11-01 03:56:44,39.028100,-92.277720
2012208772,DISTURBANCE,TEXAS AV W-CO/CREASY SPRINGS RD-CO,,2012-11-01 03:51:26,38.9694,-92.3524
2012208771,CHECK SUBJECT,4000 BLK SNOWY OWL DR-CO,,2012-11-01 03:50:37,38.9922,-92.3338
2012208769,LIQUOR LAW VIOLATION,1107 BROADWAY E-CO,A,2012-11-01 03:49:21,38.951660,-92.325050
2012208780,VANDALISM,812 MAUPIN RD-CO,,2012-11-01 03:44:09,38.949670,-92.350110
2012208767,CHECK SUBJECT,509 CLINKSCALES RD-CO,,2012-11-01 03:40:17,38.961030,-92.362330
2012208759,CHECK OPEN BUSINESS,1107 BROADWAY E-CO,,2012-11-01 03:35:12,38.951660,-92.325050
2012208756,DISTURBANCE,1010 MADISON ST-CO,,2012-11-01 03:29:39,38.963520,-92.343860
2012208757,ACCIDENT,1014 BROADWAY E-CO,,2012-11-01 03:28:33,38.951320,-92.325900
2012208755,CHECK SUBJECT,BROWN SCHOOL RD E-CO/EDENTON BLVD-CO,,2012-11-01 03:25:16,39.0024,-92.3179
2012208752,BURGLARY,2535 NORTHAMPTON DR-CO,,2012-11-01 03:22:28,38.911910,-92.300600
2012208749,CHECK OPEN BUSINESS,912 BUSINESS LOOP 70 E-CO,,2012-11-01 03:17:21,38.963870,-92.326210
2012208748,C&I; DRIVING,ASH ST E-CO/GARTH AV N-CO,,2012-11-01 03:09:19,38.954,-92.3389
2012208765,VANDALISM,280 APPLE TREE CT-CO,H,2012-11-01 03:04:21,38.899640,-92.348060
2012208741,SPECIAL ASSIGNMENT,500 COLLEGE AV S-CO,,2012-11-01 03:00:49,38.945950,-92.321270
2012208754,SUSPICIOUS INCIDENT,804 MOUNT VERNON AV-CO,,2012-11-01 03:00:31,38.959560,-92.315390
2012208745,PEACE DISTURBANCE,5000 DERBY RIDGE DR-CO,409,2012-11-01 02:57:45,39.002730,-92.311770
2012208740,LAW ALARM,12 BUSINESS LOOP 70 E-CO,B,2012-11-01 02:57:16,38.964790,-92.337650
2012208737,911 CHECKS,806 HUNT AV-CO,3,2012-11-01 02:40:40,38.963390,-92.360010
2012208733,LAW ALARM,4515 HIGHWAY 763 N-BC,,2012-11-01 02:36:05,38.997550,-92.324620
2012208731,911 CHECKS,1707 NELWOOD DR-CO,,2012-11-01 02:31:51,38.969800,-92.297500
2012208732,911 CHECKS,10 SOUTHAMPTON DR E-CO,B,2012-11-01 02:31:29,38.899520,-92.340490
2012208729,TRESPASS SUBJECT,1718 PROVIDENCE RD N-CO,,2012-11-01 02:27:30,38.971450,-92.332890
